Instancja;Metoda;Rozmiar_Grafu;Czas[us];Najlepszy_Koszt;Uzyto_UB;Max_Wezlow_w_Pamieci;Sprawdzonych_Wezlow
burma14;LC;14;42762;3323;TAK;8784;10486
burma14;LC;14;37617;3323;TAK;8784;10486
